,text,timestamp_ms,id,user.id,user.screen_name,hashtag,clean_text
37,Obviously the awkwardness of the mani cam has become my favorite hate watch of the awards season. #GoldenGlobes,1421015118422,554403705714659329,126330898,J9_NYC,['GoldenGlobes'],obviously the awkwardness of the mani cam has become my favorite hate watch of the awards season.
38,Tweet what you'd wear to this year's Golden Globes. #ERedCarpet #GoldenGlobes,1421015118430,554403705747828736,260066978,briasoboojie,"['ERedCarpet', 'GoldenGlobes']",tweet what you'd wear to this year's golden globes.
39,RT @JustJared: Emma Stone arrives in LA just in time for the #GoldenGlobes: http://t.co/RuslxeuhnM http://t.co/5KCmikssYn,1421015118941,554403707891511296,2397161721,AnnaJeliebers,['GoldenGlobes'],: emma stone arrives in la just in time for the :
40,eScala™ facial before the make-up. Enjoy the night!💋#GoldenGlobes #RedCarpet #ERedCarpet #Facial #Travel #Spa #Luxury http://t.co/DOt5eN0S0q,1421015118988,554403708088242176,2550906816,Escala_Beauty,"['GoldenGlobes', 'RedCarpet', 'ERedCarpet', 'Facial', 'Travel', 'Spa', 'Luxury']",escala facial before the make-up. enjoy the night!
41,RT @goldenglobes: Tweet to us who you'd like to see on the #GoldenGlobes #redcarpet and we'll try and make the magic happen...,1421015119171,554403708856188929,401195130,SoleRomero,"['GoldenGlobes', 'redcarpet']",: tweet to us who you'd like to see on the and we'll try and make the magic happen...
42,RT @VivaLaMegaaan: I just want to be an e! host on the red carpet😍😭 #dream,1421015119478,554403710143832065,250296092,inkedzyn,['dream'],: i just want to be an e! host on the red carpet
43,Can I please get home already. It's almost #RedCarpet time with @pamelaxxhenning #noautographsplease 👸🌟✋🎬🎭,1421015119571,554403710533898241,67501703,robyn1977,"['RedCarpet', 'noautographsplease']",can i please get home already. it's almost time with
44,RT @JustJared: Watch the #GoldenGlobes live stream right here! http://t.co/YxNJo7DLtY http://t.co/TT6BbXztdT,1421015119679,554403710986911744,1149847122,chicaidealista,['GoldenGlobes'],: watch the live stream right here!
45,I've arrived.... On the ground with @mrjoezee #GoldenGlobes back stage here we come! #YahooStyle Tell… http://t.co/dD0U3YA1BU,1421015119720,554403711158849536,15338492,juneAmbrose,"['GoldenGlobes', 'YahooStyle']",i've arrived.... on the ground with back stage here we come! tell
46,Ready for the #GoldenGlobes @ERedCarpet,1421015119735,554403711221383168,25913173,lisarinna,['GoldenGlobes'],ready for the
47,RT @goldenglobes: The #GoldenGlobes #RedCarpet is open! Here they come...,1421015119769,554403711364378624,1634167386,imaginesmaugs,"['GoldenGlobes', 'RedCarpet']",: the is open! here they come...
48,@CindyWMorrison @GINA2020 @accesshollywood @billybush cindy this is awesome..I can't wait to hear your take on golden globes!!,1421015119854,554403711720505345,1508982679,burgundylue,[],cindy this is awesome..i can't wait to hear your take on golden globes!!
49,"today are the golden globes!!!!!
#Boyhoodmovie #BirdmanMovie",1421015119870,554403711788019712,2274070765,gerurb10,"['Boyhoodmovie', 'BirdmanMovie']",today are the golden globes!!!!!
50,"RT @goldenglobes: Creating multiple mini Moët Moments on the @GoldenGlobes red carpet… http://t.co/aNSHC240w0
#MoetMoment",1421015120011,554403712379392000,968732485,jasonbagsit,['MoetMoment'],: creating multiple mini mot moments on the red carpet
51,Red carpet season 😍,1421015120193,554403713142767620,2610294515,SaavedraCarole,[],red carpet season
52,Maria Menounos At 72nd Annual Golden Globe Awards http://t.co/6fJazrZJ65,1421015120495,554403714409058305,2201029867,celebzz_a,[],maria menounos at nd annual golden globeawards
53,Red carpet events such as the Golden Globes and the Oscars stress me out so much that I can't watch them live. I don't quite know why.,1421015120529,554403714552045570,34910469,aislingmkeenan,[],red carpet events such as the golden globes and the oscars stress me out so much that i can't watch them live. i don't quite know why.
54,Join our red carpet watching Twitter party for the #GoldenGlobes right now!,1421015120623,554403714946334721,1515216260,Eightye8,['GoldenGlobes'],join our red carpet watching twitter party for the right now!
55,"RT @MattBellassai: my goal is to be as drunk as tina fey and amy poehler by the time the golden globes start, so I’m gonna start taking sho…",1421015120642,554403715025997825,220042044,JocDavila,[],": my goal is to be as drunk as tina fey and amy poehler by the time the golden globes start, so im gonna start taking sho"
56,RT @Variety: Tina Fey said Bill Cosby jokes are fair game at tonight's #GoldenGlobes http://t.co/9eqdTUmEpt http://t.co/8Qb3Y1F0Cc,1421015120750,554403715479003136,23879644,indymiller,['GoldenGlobes'],: tina fey said bill cosby jokes are fair game at tonight's
57,RT @msleamichele: So excited for the #GoldenGlobes today! Looking back on dresses from years past! #GoldenGlobes2015 http://t.co/zFi6AohzGq,1421015121009,554403716565303296,31906361,_itsfede,"['GoldenGlobes', 'GoldenGlobes2015']",: so excited for the today! looking back on dresses from years past!
58,All I want to do today is eat pizza and watch the Golden Globes. Is that to much to ask?,1421015121427,554403718318137345,29872400,Viccg,[],all i want to do today is eat pizza and watch the golden globes. is that to much to ask?
59,Ready to watch the red carpet! ❤️,1421015121668,554403719328960512,783113018,ks_prep,[],ready to watch the red carpet!
60,#AmalClooney will be wearing @Dior on the red carpet!! I'm a little too excited about it. 😳 #GoldenGlobes,1421015121671,554403719341551616,30059274,kayleystumpe,"['AmalClooney', 'GoldenGlobes']",will be wearing on the red carpet!! i'm a little too excited about it.
61,RT @fanistonforever: i really hope that jen wins @goldenglobes but no matter what happens i'm proud of her❤️,1421015121672,554403719346135041,168278806,llorenarcardoso,[],: i really hope that jen wins but no matter what happens i'm proud of her
62,I'm not watching the Golden Globes tonight :P,1421015121842,554403720058781696,32628088,TheRealMrPointy,[],i'm not watching the golden globes tonight
63,RT @StreepFans1: @goldenglobes MERYL STREEP obviously!!!!!,1421015121843,554403720063361025,1161765312,mckayla724,[],: meryl streep obviously!!!!!
64,"""@PrideMovie: Watch the Golden Globe nominated @PrideMovie on iTunes now. https://t.co/Rs6odNOkuQ""",1421015122091,554403721103171584,166332761,Kaikad_,[],""": watch the golden globe nominated on itunes now. """
65,"@JamieDornan 
Are you going to tweet at the GG?! Can you post a selfie?! 😉😋 &amp; favorite this tweet of course! 😜 Fandom is going crazy today!",1421015122246,554403721753677826,2747450074,KLB1204,[],are you going to tweet at the gg?! can you post a selfie?! &amp; favorite this tweet of course! fandom is going crazy today!
66,"RT @coolmompicks: Ah the #GoldenGlobes, the night when parents are reminded it's been about 8 years since they've seen a grown-up movie in …",1421015122290,554403721937838081,497384743,MandyBrunett,['GoldenGlobes'],": ah the , the night when parents are reminded it's been about years since they've seen a grown-up movie in"
67,"RT @ENews: Show us how you're watching the #GoldenGlobes -- tweet us a pic of your set up, we'll RT our faves! #ERedCarpet",1421015122327,554403722093031424,57569761,lindseyjoy09,"['GoldenGlobes', 'ERedCarpet']",": show us how you're watching the -- tweet us a pic of your set up, we'll rt our faves!"
68,RT @ELLEmagazine: 10 absolutely *PRICELESS* drunk moments at the #GoldenGlobes: http://t.co/7KRKrgcDje http://t.co/wEslk6qbpY,1421015122355,554403722210848770,1543972087,bomidwinter,['GoldenGlobes'],: absolutely *priceless* drunk moments at the :
69,Does anyone know what channel golden globes will be on in the UK?,1421015122605,554403723259428866,2220379527,kfrinx,[],does anyone know what channel golden globes will be on in the uk?
70,RT @STcom: Golden Globes catapult Hollywood into awards season  http://t.co/qLiBaLG6Zg http://t.co/mUpiIhTTtg,1421015122807,554403724106297344,74971325,pamjeanne,[],: golden globes catapult hollywood into awards season
71,"RT @louiseroe: Tadah, my #GoldenGlobes look! Thank you #JennyPackham #EdieParker #MartinKatz #PedroGarcia #AccessHollywood http://t.co/ueyr…",1421015123207,554403725784395776,820187977,dressandsmile,"['GoldenGlobes', 'JennyPackham', 'EdieParker', 'MartinKatz', 'PedroGarcia', 'AccessHollywood']",": tadah, my look! thank you"
72,RT @hollywoodawards: Pointing at YOU #JLovers! Don't miss your girl @JLo present TONIGHT at the @goldenglobes LIVE on @nbc. #GoldenGlobes h…,1421015123371,554403726472269825,153156107,jhosmill,"['JLovers', 'GoldenGlobes']",: pointing at you ! don't miss your girl present tonight at the live on . h
73,I'm not gonna see the golden globes tonight what the heck 😓,1421015123433,554403726731902976,1884879529,hehehehiddles,[],i'm not gonna see the golden globes tonight what the heck
